,auc,auc_ci,pr_auc,recall,precision,f1,accuracy
Logistic Regression,0.6270423441482911,"(np.float64(0.5259349306135799), np.float64(0.7353035545819497))",0.004281799312959231,0.36666666666666664,0.00438421681944998,0.00866482867270579,0.8135417438328765
Random Forest,0.5697540030192789,"(np.float64(0.459386288783258), np.float64(0.6910190103832641))",0.009332225842407778,0.03333333333333333,0.04,0.03636363636363636,0.9960737832432032
XGBoost,0.5135236468928651,"(np.float64(0.39496214949171804), np.float64(0.6405151191877825))",0.004279626123304405,0.0,0.0,0.0,0.9965923401733462
Gradient Boosting,0.5190511545029326,"(np.float64(0.40375442414588003), np.float64(0.6344338824122723))",0.004284770169222242,0.0,0.0,0.0,0.9977035335950811
Weighted Ensemble,0.6249535971490088,,0.007528562310001878,0.0,0.0,0.0,0.9977776131565301
Stacking,0.41340361818496796,,0.0019226207531743953,0.0,0.0,0.0,0.9977035335950811
